Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F0001;21/03/1952;10/05/1969;Fanfan la Tulipe;Fanfan la Tulipe;;France;Christian-Jaque ;Gérard Philipe, Gina Lollobrigida;bien;Ciné Plein Tarif ;0;Florida Agen;;ma classe de CM2;;1er ciné de ma vie;
F0002;07/10/1960;01/01/1970;Ben-Hur;Ben-Hur.jpg;Ben-Hur;USA;William Wyler;Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd,;Tr bien;Ciné Plein Tarif ;0;Florida Agen;;Lou Papa, La Mama;;Maman qu'est-ce qui va se passer ?;
F0003;01/07/1953;01/02/1971;Stalag 17;Stalag17.jpg;;USA;Billy Wilder ;William Holden, Don Taylor, Otto Preminger, Robert Strauss, Harvey Lembeck, Richard Erdman, Peter Graves,;Tr bien;diffusion chaines;0;Télé Rouquet;;;;;
F0004;29/09/1971;30/09/1971;Pas d'orchidées pour Miss Blandish;PAS D'ORCHIDEES POUR MISS BLANDISH;The Grissom Gang;USA;Robert Aldrich;Kim Darby, Scott Wilson, Tony Musante, Robert Lansing,;moyen;diffusion chaines;0;Télé Rouquet;;;;;
F0005;08/12/1971;08/12/1971;La Folie des grandeurs;LA FOLIE DES GRANDEURS;;France;Gérard Oury;Louis de Funès, Yves Montand, Alice Sapritch,;moyen;diffusion chaines;0;Télé Rouquet;;;;;
F0006;08/12/1971;09/12/1971;Les Aristochats;LES ARISTOCHATS;The Aristocats;USA;Wolfgang Reitherman;Animation Walt Disney;bien;Ciné Plein Tarif ;0;Télé Rouquet;;;;;
F0007;06/02/1927;10/01/1972;Metropolis;Metropolis;Metropolis;Allemagne;Fritz Lang;Alfred Abel, Gustav Fröhlich, Brigitte Helm,;bien;diffusion chaines;0;Télé Agen;;;;;
F0008;19/08/1932;10/01/1972;Tarzan, l'homme singe;TarzanhommeSinge.jpg;Tarzan the Ape Man;USA;W.S. Van Dyke;Johnny Weissmuller, Maureen O'Sullivan;Tr bien;diffusion chaines;0;Télé Agen;;;;Ungawa Tinta !!;
F0009;29/09/1933;10/02/1972;King Kong;King Kong.jpg;King Kong;USA;Ernest B.Schoedsack et Merian C.Cooper;Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0010;30/10/1935;10/02/1972;Les 39 marches;Les 39 marches;The Thirty Nine Steps ;USA;Alfred Hitchcock;Robert Donat, Madeleine Carroll, Lucie Mannheim,;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0011;04/05/1938;10/03/1972;Blanche-Neige et les sept nains;BLANCHE NEIGE ET LES 7 NAINS;Snow White and the Seven Dwarfs;USA;Walt Disney;Animation Walt Disney;bien;diffusion chaines;0;Télé Agen;;;;;
F0012;26/06/1946;10/03/1972;Le Magicien d'oz;LE MAGICIEN D'OZ;The Wizard of Oz;USA;Victor Fleming;Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0013;07/10/1955;10/04/1972;20 000 lieues sous les mers;20 000 lieues sous les mers.jpg;20000 Leagues Under the Sea;USA;Richard Fleischer;Kirk Douglas, James Mason, Paul Lukas, Peter Lorre,;bien;diffusion chaines;0;Télé Agen;;;;;
F0014;26/04/1951;10/04/1972;Winchester 73;Winchester 73;;USA;Anthony Mann;James Stewart, Shelley Winters;bien;diffusion chaines;0;Télé Agen;;;;;
F0015;04/05/1972;05/05/1972;L'Aventure c'est L'Aventure;L'AVENTURE C'EST L'AVENTURE;;France;Claude Lelouch;Lino Ventura, Jacques Brel, Charles Denner, Charles Gérard, Aldo Maccione ;bien;diffusion chaines;0;Télé Rouquet;;;;;
F0016;12/08/1970;05/05/1972;MASH;MASH;MASH;USA;Robert Altman;Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall,;pas mal;diffusion chaines;0;Télé Rouquet;;;;Lèvres en feu……tr excitant c film…..;
F0017;26/10/1956;10/05/1972;La Traversée de Paris;LA TRAVERSEE DE PARIS;;France;Claude Autant-Lara;Jean Gabin, Bourvil, Louis de Funès;bien;diffusion chaines;0;Télé Agen;;;;;
F0018;03/10/1956;10/05/1972;L'ultime razzia;L'ULTIME RAZZIA;The Killing;USA;Stanley Kubrick;Sterling Hayden, Coleen Gray, Vince Edwards;bien;diffusion chaines;0;Télé Agen;;;;;
F0019;08/12/1974;16/05/1972;La Grande Vadrouille;LA GRANDE VADROUILLE;;France;Gérard Oury ;Bourvil, Louis de Funès,;bien;diffusion chaines;0;Télé Agen;;;;;
F0020;21/10/1959;10/06/1972;La Mort aux trousses;LA MORT AUX TROUSSES;North by Northwest;USA;Alfred Hitchcock;Cary Grant, Eva Marie Saint, James Mason,;bien;diffusion chaines;0;Télé Agen;;;;;
F0021;21/10/1959;10/06/1972;Rio bravo;RIO BRAVO;;USA;Howard Hawks;John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson,;bien;diffusion chaines;0;Télé Agen;;;;;
F0022;23/12/1959;10/07/1972;Le Chien des Baskerville;LE CHIEN DES BASKERVILLE;The Hound of the Baskervilles;Angleterre;Terence Fisher;Peter Cushing, André Morell, Christopher Lee,;moyen;diffusion chaines;0;Télé Agen;;;;;
F0023;10/05/1960;10/07/1972;Un taxi pour Tobrouk;Un taxi pour Tobrouk.jpg;;France;Denys De La Patellière;Hardy Krüger, Lino Ventura, Maurice Biraud, Charles Aznavour, Germán Cobos;bien;diffusion chaines;0;Télé Agen;;;;;
F0024;01/10/1960;10/08/1972;Le Tigre du bengale;LE TIGRE DU BENGALE (1959);Der Tiger von Eschnapur;Allemagne;Fritz Lang;Debra Paget, Paul Hubschmid, Walter Reyer,;bien;diffusion chaines;0;Télé Agen;;;;;
F0025;02/11/1960;10/08/1972;Psychose;PSYCHOSE;Psycho;USA;Alfred Hitchcock;Anthony Perkins, Janet Leigh, Vera Miles,;bien;diffusion chaines;0;Télé Agen;;;;;
